국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1.8938339E7,1.6371455E7,15.7,0.0,0
중국,5480969.0,4603273.0,19.1,29.0,1
일본,3653137.0,3224079.0,13.3,19.3,2
대만,1891414.0,1473908.0,28.3,10.0,3
미국,1483240.0,1320108.0,12.4,7.8,4
홍콩,623149.0,571418.0,9.1,3.3,5
필리핀,615141.0,516760.0,19.0,3.3,6
베트남,543105.0,511420.0,6.2,2.9,7
싱가포르,399635.0,375428.0,6.4,2.1,8
인도네시아,365596.0,336185.0,8.7,1.9,9
태국,333930.0,323856.0,3.1,1.8,10
말레이시아,329147.0,300836.0,9.4,1.7,11
캐나다,282618.0,254332.0,11.1,1.5,12
호주,267157.0,244338.0,9.3,1.4,13
러시아,224524.0,197198.0,13.9,1.2,14
인도,199277.0,176668.0,12.8,1.1,15
프랑스,180076.0,164508.0,9.5,1.0,16
독일,175836.0,157185.0,11.9,0.9,17
영국,171940.0,147493.0,16.6,0.9,18
몽골,166901.0,141902.0,17.6,0.9,19
미얀마,86290.0,76334.0,13.0,0.5,20
멕시코,85503.0,57888.0,47.7,0.5,21
이탈리아,81328.0,63423.0,28.2,0.4,22
우즈베키스탄,67900.0,59501.0,14.1,0.4,23
카자흐스탄,64990.0,54893.0,18.4,0.3,24
네덜란드,62695.0,55038.0,13.9,0.3,25
튀르키예,60202.0,46027.0,30.8,0.3,26
스페인,59134.0,47031.0,25.7,0.3,27
폴란드,54297.0,43539.0,24.7,0.3,28
캄보디아,51694.0,48084.0,7.5,0.3,29
네팔,51257.0,40507.0,26.5,0.3,30
마카오,45443.0,45338.0,0.2,0.2,31
뉴질랜드,44632.0,42177.0,5.8,0.2,32
브라질,41607.0,33292.0,25.0,0.2,33
스리랑카,29368.0,27666.0,6.2,0.2,34
스위스,29215.0,25819.0,13.2,0.2,35
라오스,28062.0,19569.0,43.4,0.1,36
방글라데시,25905.0,23959.0,8.1,0.1,37
교포,25838.0,34989.0,-26.2,0.1,38
스웨덴,25135.0,20837.0,20.6,0.1,39
이스라엘,24949.0,14789.0,68.7,0.1,40
우크라이나,23506.0,22414.0,4.9,0.1,41
벨기에,21388.0,19626.0,9.0,0.1,42
사우디아라비아,20998.0,22651.0,-7.3,0.1,43
남아프리카공화국,19342.0,16553.0,16.8,0.1,44
루마니아,18777.0,16017.0,17.2,0.1,45
덴마크,17814.0,15730.0,13.2,0.1,46
포르투갈,17466.0,13919.0,25.5,0.1,47
오스트리아,17110.0,15660.0,9.3,0.1,48
콜롬비아,15820.0,11374.0,39.1,0.1,49
핀란드,15671.0,13895.0,12.8,0.1,50
파키스탄,15321.0,15842.0,-3.3,0.1,51
아일랜드,14947.0,12317.0,21.4,0.1,52
노르웨이,14790.0,12192.0,21.3,0.1,53
체코,13138.0,10681.0,23.0,0.1,54
키르기스스탄,12787.0,10691.0,19.6,0.1,55
그리스,12540.0,10821.0,15.9,0.1,56
아르헨티나,9849.0,7236.0,36.1,0.1,57
에티오피아,9781.0,10813.0,-9.5,0.1,58
아랍에미리트,9243.0,8946.0,3.3,0.0,59
헝가리,9138.0,8843.0,3.3,0.0,60
칠레,8755.0,7035.0,24.4,0.0,61
브루나이,8069.0,7212.0,11.9,0.0,62
불가리아,7756.0,6494.0,19.4,0.0,63
페루,7490.0,5623.0,33.2,0.0,64
이집트,7117.0,6454.0,10.3,0.0,65
크로아티아,7052.0,6112.0,15.4,0.0,66
타지키스탄,6790.0,6120.0,10.9,0.0,67
리투아니아,5894.0,4622.0,27.5,0.0,68
모로코,5662.0,4690.0,20.7,0.0,69
슬로바키아,5120.0,4768.0,7.4,0.0,70
케냐,5071.0,4123.0,23.0,0.0,71
쿠웨이트,4341.0,4366.0,-0.6,0.0,72
세르비아,4128.0,3712.0,11.2,0.0,73
이란,3961.0,4068.0,-2.6,0.0,74
라트비아,3557.0,2984.0,19.2,0.0,75
튀니지,3414.0,3001.0,13.8,0.0,76
에콰도르,3362.0,2963.0,13.5,0.0,77
짐바브웨,3207.0,2701.0,18.7,0.0,78
코스타리카,2948.0,2241.0,31.5,0.0,79
이라크,2675.0,2394.0,11.7,0.0,80
요르단,2662.0,2493.0,6.8,0.0,81
슬로베니아,2654.0,2184.0,21.5,0.0,82
에스토니아,2647.0,2275.0,16.4,0.0,83
벨라루스,2569.0,1896.0,35.5,0.0,84
시리아,2557.0,2419.0,5.7,0.0,85
리비아,2329.0,2022.0,15.2,0.0,86
몬테네그로,2304.0,1877.0,22.7,0.0,87
베네수엘라,2279.0,1929.0,18.1,0.0,88
모리셔스,2252.0,1658.0,35.8,0.0,89
가나,2235.0,2197.0,1.7,0.0,90
오만,2117.0,1724.0,22.8,0.0,91
카타르,2071.0,2384.0,-13.1,0.0,92
파나마,2008.0,1360.0,47.6,0.0,93
나이지리아,1971.0,2290.0,-13.9,0.0,94
마다가스카르,1961.0,2172.0,-9.7,0.0,95
룩셈부르크,1957.0,1519.0,28.8,0.0,96
아제르바이잔,1954.0,1960.0,-0.3,0.0,97
과테말라,1921.0,1680.0,14.3,0.0,98
탄자니아,1918.0,1694.0,13.2,0.0,99
동티모로,1909.0,1845.0,3.5,0.0,100
도미니카 공화국,1838.0,1683.0,9.2,0.0,101
알제리,1787.0,1592.0,12.2,0.0,102
온두라스,1781.0,1537.0,15.9,0.0,103
조지아,1777.0,1826.0,-2.7,0.0,104
그루지아,1777.0,1826.0,-2.7,0.0,104
투르크메니스탄,1719.0,995.0,72.8,0.0,106
키프로스,1503.0,1181.0,27.3,0.0,107
자메이카,1297.0,1404.0,-7.6,0.0,108
엘살바도르,1202.0,1039.0,15.7,0.0,109
레바논,1155.0,1142.0,1.1,0.0,110
몰타,1115.0,866.0,28.8,0.0,111
예멘,1077.0,892.0,20.7,0.0,112
바레인,1058.0,888.0,19.1,0.0,113
우르과이,1057.0,1041.0,1.5,0.0,114
우간다,1050.0,933.0,12.5,0.0,115
파라과이,1043.0,846.0,23.3,0.0,116
알바니아,1020.0,862.0,18.3,0.0,117
아시아 기타,997.0,1306.0,-23.7,0.0,118
피지,936.0,1003.0,-6.7,0.0,119
아이슬란드,842.0,705.0,19.4,0.0,120
르완다,830.0,824.0,0.7,0.0,121
세인트 킷츠 네비스,764.0,718.0,6.4,0.0,122
트리니다드ㆍ토바고,713.0,583.0,22.3,0.0,123
유고슬라비아,676.0,633.0,6.8,0.0,124
니카라과,644.0,473.0,36.2,0.0,125
도미니카연방,636.0,558.0,14.0,0.0,126
코트디부아르,583.0,642.0,-9.2,0.0,127
콩고민주공화국,577.0,387.0,49.1,0.0,128
볼리비아,563.0,538.0,4.6,0.0,129
파푸아뉴기니,559.0,372.0,50.3,0.0,130
카메룬,534.0,680.0,-21.5,0.0,131
부탄,521.0,633.0,-17.7,0.0,132
몰도바,521.0,389.0,33.9,0.0,132
수단,459.0,404.0,13.6,0.0,134
세네갈,446.0,442.0,0.9,0.0,135
아르메니아,439.0,327.0,34.3,0.0,136
바하마,431.0,149.0,189.3,0.0,137
미크로네시아,392.0,308.0,27.3,0.0,138
부룬디,392.0,414.0,-5.3,0.0,138
그레나다,373.0,318.0,17.3,0.0,140
감비아,368.0,224.0,64.3,0.0,141
세인트 루치아,347.0,286.0,21.3,0.0,142
잠비아,345.0,339.0,1.8,0.0,143
서사모아,311.0,411.0,-24.3,0.0,144
모잠비크,301.0,257.0,17.1,0.0,145
보스니아ㆍ헤르체고비나,293.0,229.0,27.9,0.0,146
보츠와나,272.0,267.0,1.9,0.0,147
아프가니스탄,271.0,360.0,-24.7,0.0,148
국적미상,265.0,222.0,19.4,0.0,149
쿠바,256.0,259.0,-1.2,0.0,150
몰디브,250.0,301.0,-16.9,0.0,151
팔레스타인,241.0,258.0,-6.6,0.0,152
바누아투,226.0,201.0,12.4,0.0,153
마케도니아,216.0,68.0,217.6,0.0,154
마샬군도,190.0,138.0,37.7,0.0,155
가이아나,186.0,264.0,-29.5,0.0,156
앤티가 바부다,185.0,143.0,29.4,0.0,157
말라위,184.0,218.0,-15.6,0.0,158
나미비아,184.0,139.0,32.4,0.0,158
바베이도스,175.0,132.0,32.6,0.0,160
코소보,158.0,154.0,2.6,0.0,161
가봉,158.0,228.0,-30.7,0.0,161
솔로몬군도,155.0,144.0,7.6,0.0,163
팔라우,154.0,102.0,51.0,0.0,164
아이티,153.0,113.0,35.4,0.0,165
베냉,152.0,137.0,10.9,0.0,166
라이베리아,152.0,179.0,-15.1,0.0,166
말리,149.0,141.0,5.7,0.0,168
기니,148.0,142.0,4.2,0.0,169
앙골라,137.0,334.0,-59.0,0.0,170
에스와티니,133.0,267.0,-50.2,0.0,171
통가,131.0,143.0,-8.4,0.0,172
안도라,127.0,76.0,67.1,0.0,173
세인트 빈센트 그레나딘,126.0,198.0,-36.4,0.0,174
토고,126.0,155.0,-18.7,0.0,174
부르키나 파소,122.0,120.0,1.7,0.0,176
수리남,120.0,96.0,25.0,0.0,177
리히텐슈타인,111.0,83.0,33.7,0.0,178
벨리즈,107.0,72.0,48.6,0.0,179
세이셸,107.0,94.0,13.8,0.0,179
키리바시,106.0,199.0,-46.7,0.0,181
시에라리온,104.0,102.0,2.0,0.0,182
모리타니,85.0,90.0,-5.6,0.0,183
영국교포,80.0,69.0,15.9,0.0,184
모나코,71.0,46.0,54.3,0.0,185
콩고,71.0,96.0,-26.0,0.0,185
투발루,70.0,89.0,-21.3,0.0,187
적도 기니,70.0,100.0,-30.0,0.0,187
카보베르데,64.0,53.0,20.8,0.0,189
레소토,56.0,103.0,-45.6,0.0,190
남수단공화국,51.0,38.0,34.2,0.0,191
중앙아프리카공화국,48.0,40.0,20.0,0.0,192
나우루,46.0,54.0,-14.8,0.0,193
산마리노,42.0,30.0,40.0,0.0,194
소말리아,34.0,52.0,-34.6,0.0,195
차드,33.0,21.0,57.1,0.0,196
니제르,33.0,24.0,37.5,0.0,196
에리트레아,29.0,23.0,26.1,0.0,198
코모로,23.0,31.0,-25.8,0.0,199
지부티,14.0,35.0,-60.0,0.0,200
기니비사우,13.0,20.0,-35.0,0.0,201
상투메 프린시페,10.0,3.0,233.3,0.0,202
토켈라우,4.0,2.0,100.0,0.0,203
노퍽섬,0.0,3.0,-100.0,0.0,204
뉴칼레도니아,0.0,1.0,-100.0,0.0,204
기타 유럽,0.0,1.0,-100.0,0.0,204
영국령 인도양지역,0.0,0.0,,,204
바티칸,0.0,0.0,,,204
영국령 버진군도,0.0,0.0,,,204
