기준년월,방한 외래관광객,환율(원),환율 계산 방법,국제유가(달러),국제유가 계산 방법
202501,1117243.0,1433.3,원/미국달러,80.41,달러/배럴
202502,1138408.0,1439.6,원/미국달러,77.92,달러/배럴
202503,1614596.0,1466.5,원/미국달러,72.49,달러/배럴
202504,1707113.0,1438.5,원/미국달러,67.74,달러/배럴
202505,1629387.0,1381.4,원/미국달러,63.73,달러/배럴
202506,1619220.0,1356.4,원/미국달러,69.26,달러/배럴
202507,1733199.0,1382.9,원/미국달러,70.87,달러/배럴
202508,1820332.0,1388.6,원/미국달러,69.39,달러/배럴
202509,1702813.0,1402.2,원/미국달러,70.01,달러/배럴
202510,1739020.0,1423.2,원/미국달러,65.0,달러/배럴
202511,1596939.0,1464.8,원/미국달러,64.47,달러/배럴
202512,1518292.0,1434.9,원/미국달러,62.05,달러/배럴
